tradeday,account,ticker,quantity
2017-06-16,XLIN01,JD,10.0
2017-06-16,XLIN01,KR,25.0
2017-06-19,XLIN01,JD,10.0
2017-06-19,XLIN01,KR,25.0
2017-06-20,XLIN01,JD,10.0
2017-06-20,XLIN01,KR,25.0
2017-06-21,XLIN01,JD,10.0
2017-06-21,XLIN01,KR,25.0
2017-06-22,XLIN01,JD,10.0
2017-06-22,XLIN01,KR,25.0
2017-06-23,XLIN01,JD,10.0
2017-06-23,XLIN01,KR,25.0
2017-06-26,XLIN01,JD,10.0
2017-06-26,XLIN01,KR,25.0
2017-06-27,XLIN01,JD,10.0
2017-06-27,XLIN01,KR,25.0
2017-06-28,XLIN01,JD,10.0
2017-06-28,XLIN01,KR,25.0
2017-06-29,XLIN01,JD,10.0
2017-06-29,XLIN01,KR,25.0
2017-06-30,XLIN01,JD,10.0
2017-06-30,XLIN01,KR,45.0
2017-07-03,XLIN01,JD,10.0
2017-07-03,XLIN01,KR,45.0
2017-07-04,XLIN01,JD,10.0
2017-07-04,XLIN01,KR,45.0
2017-07-05,XLIN01,JD,10.0
2017-07-05,XLIN01,KR,45.0
2017-07-06,XLIN01,JD,10.0
2017-07-06,XLIN01,KO,10.0
2017-07-06,XLIN01,KR,45.0
2017-07-06,XLIN01,TWTR,9.0
2017-07-07,XLIN01,JD,10.0
2017-07-07,XLIN01,KO,10.0
2017-07-07,XLIN01,KR,45.0
2017-07-07,XLIN01,TWTR,9.0
2017-07-10,XLIN01,JD,10.0
2017-07-10,XLIN01,KO,10.0
2017-07-10,XLIN01,KR,45.0
2017-07-10,XLIN01,TWTR,9.0
2017-07-11,XLIN01,JD,10.0
2017-07-11,XLIN01,KO,10.0
2017-07-11,XLIN01,KR,45.0
2017-07-11,XLIN01,TWTR,9.0
2017-07-12,XLIN01,EBAY,4.0
2017-07-12,XLIN01,INTU,1.0
2017-07-12,XLIN01,JD,10.0
2017-07-12,XLIN01,KO,10.0
2017-07-12,XLIN01,KR,45.0
2017-07-12,XLIN01,TWTR,9.0
